payment_record_id,loan_id,snapshot_date,days_past_due,delinquent_flag
P0011342,L007360,2022-04-28,0,0
P0011343,L007361,2022-12-13,12,0
P0011344,L007362,2024-02-15,13,0
P0011345,L007363,2024-01-02,15,0
P0011346,L007363,2024-02-01,34,0
P0011347,L007363,2024-03-02,74,0
P0011348,L007363,2024-04-01,109,1
P0011349,L007363,2024-05-01,142,1
P0011350,L007363,2024-05-31,159,1
P0011351,L007364,2024-09-12,0,0
P0011352,L007364,2024-10-12,0,0
P0011353,L007364,2024-11-11,0,0
P0011354,L007365,2025-05-28,16,0
P0011355,L007365,2025-06-27,32,0
P0011356,L007365,2025-07-27,69,0
P0011357,L007365,2025-08-26,112,1
P0011358,L007365,2025-09-25,130,1
P0011359,L007365,2025-10-25,168,1
P0011360,L007365,2025-11-24,180,1
P0011361,L007366,2021-04-24,2,0
P0011362,L007366,2021-05-24,0,0
P0011363,L007370,2025-01-29,17,0
P0011364,L007371,2022-07-25,15,0
P0011365,L007371,2022-08-24,49,0
P0011366,L007371,2022-09-23,77,0
P0011367,L007371,2022-10-23,96,1
P0011368,L007371,2022-11-22,121,1
P0011369,L007371,2022-12-22,145,1
P0011370,L007372,2025-02-17,0,0
P0011371,L007377,2024-03-14,0,0
P0011372,L007378,2022-11-21,13,0
P0011373,L007379,2023-04-15,20,0
P0011374,L007379,2023-05-15,41,0
P0011375,L007379,2023-06-14,76,0
P0011376,L007379,2023-07-14,120,1
P0011377,L007379,2023-08-13,139,1
P0011378,L007380,2022-09-26,0,0
P0011379,L007381,2022-12-29,17,0
P0011380,L007382,2023-03-29,1,0
P0011381,L007382,2023-04-28,8,0
P0011382,L007385,2024-12-16,0,0
P0011383,L007388,2023-06-18,18,0
P0011384,L007388,2023-07-18,8,0
P0011385,L007389,2025-03-29,15,0
P0011386,L007389,2025-04-28,41,0
P0011387,L007389,2025-05-28,62,0
P0011388,L007389,2025-06-27,97,1
P0011389,L007389,2025-07-27,141,1
P0011390,L007389,2025-08-26,175,1
P0011391,L007392,2023-09-09,0,0
P0011392,L007393,2022-04-02,0,0
P0011393,L007393,2022-05-02,11,0
P0011394,L007394,2023-11-24,25,0
P0011395,L007394,2023-12-24,56,0
P0011396,L007394,2024-01-23,83,0
P0011397,L007394,2024-02-22,127,1
P0011398,L007394,2024-03-23,158,1
P0011399,L007396,2022-01-20,44,0
P0011400,L007396,2022-02-19,81,0
P0011401,L007396,2022-03-21,115,1
P0011402,L007396,2022-04-20,155,1
P0011403,L007399,2025-08-03,18,0
P0011404,L007400,2022-05-16,12,0
P0011405,L007402,2023-10-09,8,0
P0011406,L007403,2025-05-02,9,0
P0011407,L007405,2021-08-28,33,0
P0011408,L007405,2021-09-27,65,0
P0011409,L007405,2021-10-27,92,1
P0011410,L007405,2021-11-26,110,1
P0011411,L007406,2021-05-26,31,0
P0011412,L007406,2021-06-25,52,0
P0011413,L007406,2021-07-25,72,0
P0011414,L007406,2021-08-24,88,0
P0011415,L007406,2021-09-23,126,1
P0011416,L007406,2021-10-23,144,1
P0011417,L007407,2025-06-11,0,0
P0011418,L007409,2022-04-21,3,0
P0011419,L007410,2023-08-30,18,0
P0011420,L007411,2025-05-30,0,0
P0011421,L007411,2025-06-29,19,0
P0011422,L007411,2025-07-29,0,0
P0011423,L007412,2024-04-29,0,0
P0011424,L007413,2023-06-03,16,0
P0011425,L007417,2025-02-25,8,0
P0011426,L007418,2022-08-09,0,0
P0011427,L007418,2022-09-08,3,0
P0011428,L007418,2022-10-08,0,0
P0011429,L007421,2023-12-01,9,0
P0011430,L007421,2023-12-31,4,0
P0011431,L007424,2021-05-12,26,0
P0011432,L007424,2021-06-11,44,0
P0011433,L007424,2021-07-11,70,0
P0011434,L007424,2021-08-10,87,0
P0011435,L007424,2021-09-09,116,1
P0011436,L007424,2021-10-09,140,1
P0011437,L007424,2021-11-08,180,1
P0011438,L007427,2025-09-21,36,0
P0011439,L007427,2025-10-21,72,0
P0011440,L007427,2025-11-20,92,1
P0011441,L007427,2025-12-20,130,1
P0011442,L007428,2025-10-24,19,0
P0011443,L007428,2025-11-23,0,0
P0011444,L007429,2021-06-21,3,0
P0011445,L007432,2024-05-06,3,0
P0011446,L007432,2024-06-05,8,0
P0011447,L007432,2024-07-05,3,0
P0011448,L007433,2023-05-10,7,0
P0011449,L007436,2023-10-07,19,0
P0011450,L007436,2023-11-06,35,0
P0011451,L007436,2023-12-06,73,0
P0011452,L007441,2021-11-01,0,0
P0011453,L007446,2022-11-18,35,0
P0011454,L007446,2022-12-18,75,0
P0011455,L007446,2023-01-17,93,1
P0011456,L007450,2024-10-07,43,0
P0011457,L007450,2024-11-06,58,0
P0011458,L007450,2024-12-06,90,1
P0011459,L007450,2025-01-05,119,1
P0011460,L007451,2022-10-14,13,0
P0011461,L007452,2022-06-05,14,0
P0011462,L007452,2022-07-05,0,0
P0011463,L007453,2021-03-26,6,0
P0011464,L007454,2021-12-01,29,0
P0011465,L007454,2021-12-31,57,0
P0011466,L007454,2022-01-30,101,1
P0011467,L007454,2022-03-01,116,1
P0011468,L007454,2022-03-31,160,1
P0011469,L007454,2022-04-30,180,1
P0011470,L007454,2022-05-30,180,1
P0011471,L007454,2022-06-29,180,1
P0011472,L007456,2023-12-20,29,0
P0011473,L007456,2024-01-19,64,0
P0011474,L007456,2024-02-18,99,1
P0011475,L007459,2023-04-24,0,0
P0011476,L007459,2023-05-24,12,0
P0011477,L007460,2022-01-02,19,0
P0011478,L007460,2022-02-01,0,0
P0011479,L007461,2024-09-10,2,0
P0011480,L007461,2024-10-10,19,0
P0011481,L007462,2022-01-29,21,0
P0011482,L007462,2022-02-28,49,0
P0011483,L007462,2022-03-30,77,0
P0011484,L007462,2022-04-29,97,1
P0011485,L007462,2022-05-29,135,1
P0011486,L007465,2025-03-12,17,0
P0011487,L007465,2025-04-11,0,0
P0011488,L007465,2025-05-11,0,0
P0011489,L007466,2024-05-07,0,0
P0011490,L007468,2026-01-01,24,0
P0011491,L007468,2026-01-31,64,0
P0011492,L007468,2026-03-02,108,1
P0011493,L007468,2026-04-01,134,1
P0011494,L007468,2026-05-01,156,1
P0011495,L007468,2026-05-31,180,1
P0011496,L007469,2023-04-01,15,0
P0011497,L007470,2021-06-09,6,0
P0011498,L007470,2021-07-09,18,0
P0011499,L007474,2022-02-17,8,0
P0011500,L007474,2022-03-19,3,0
P0011501,L007475,2025-10-07,23,0
P0011502,L007475,2025-11-06,62,0
P0011503,L007475,2025-12-06,93,1
P0011504,L007476,2024-04-04,7,0
P0011505,L007476,2024-05-04,10,0
P0011506,L007476,2024-06-03,0,0
P0011507,L007477,2025-05-03,0,0
P0011508,L007479,2021-06-02,19,0
P0011509,L007480,2021-04-21,22,0
P0011510,L007480,2021-05-21,55,0
P0011511,L007480,2021-06-20,70,0
P0011512,L007480,2021-07-20,86,0
P0011513,L007480,2021-08-19,129,1
P0011514,L007480,2021-09-18,148,1
P0011515,L007480,2021-10-18,176,1
P0011516,L007481,2022-07-28,0,0
P0011517,L007482,2021-04-28,1,0
P0011518,L007483,2021-12-26,0,0
P0011519,L007483,2022-01-25,0,0
P0011520,L007484,2023-12-08,30,0
P0011521,L007484,2024-01-07,68,0
P0011522,L007484,2024-02-06,112,1
P0011523,L007485,2025-11-16,23,0
P0011524,L007485,2025-12-16,50,0
P0011525,L007485,2026-01-15,67,0
P0011526,L007485,2026-02-14,86,0
P0011527,L007485,2026-03-16,118,1
P0011528,L007485,2026-04-15,155,1
P0011529,L007485,2026-05-15,172,1
P0011530,L007485,2026-06-14,180,1
P0011531,L007488,2021-03-23,0,0
P0011532,L007488,2021-04-22,9,0
P0011533,L007490,2023-05-02,8,0
P0011534,L007490,2023-06-01,10,0
P0011535,L007491,2021-11-07,10,0
P0011536,L007492,2024-09-26,0,0
P0011537,L007494,2025-01-08,18,0
P0011538,L007495,2023-06-24,8,0
P0011539,L007495,2023-07-24,2,0
P0011540,L007496,2021-12-18,4,0
P0011541,L007496,2022-01-17,2,0
P0011542,L007498,2021-03-24,25,0
P0011543,L007498,2021-04-23,63,0
P0011544,L007498,2021-05-23,84,0
P0011545,L007498,2021-06-22,100,1
P0011546,L007499,2025-06-10,27,0
P0011547,L007499,2025-07-10,60,0
P0011548,L007499,2025-08-09,95,1
P0011549,L007499,2025-09-08,135,1
P0011550,L007499,2025-10-08,176,1
P0011551,L007500,2022-08-04,1,0
P0011552,L007500,2022-09-03,0,0
P0011553,L007501,2021-10-29,22,0
P0011554,L007501,2021-11-28,51,0
P0011555,L007501,2021-12-28,94,1
P0011556,L007503,2025-09-06,13,0
P0011557,L007504,2022-11-30,10,0
P0011558,L007505,2025-08-20,0,0
P0011559,L007510,2024-04-19,13,0
P0011560,L007513,2025-08-28,11,0
P0011561,L007514,2022-07-20,32,0
P0011562,L007514,2022-08-19,52,0
P0011563,L007514,2022-09-18,88,0
P0011564,L007514,2022-10-18,128,1
P0011565,L007514,2022-11-17,164,1
P0011566,L007515,2023-08-17,14,0
P0011567,L007515,2023-09-16,0,0
P0011568,L007516,2022-05-24,0,0
P0011569,L007516,2022-06-23,18,0
P0011570,L007516,2022-07-23,0,0
P0011571,L007517,2023-03-23,15,0
P0011572,L007517,2023-04-22,41,0
P0011573,L007517,2023-05-22,82,0
P0011574,L007517,2023-06-21,123,1
P0011575,L007517,2023-07-21,141,1
P0011576,L007517,2023-08-20,170,1
P0011577,L007517,2023-09-19,180,1
P0011578,L007517,2023-10-19,180,1
P0011579,L007518,2026-01-12,12,0
P0011580,L007518,2026-02-11,14,0
P0011581,L007519,2023-05-25,0,0
P0011582,L007519,2023-06-24,0,0
P0011583,L007519,2023-07-24,9,0
P0011584,L007520,2022-05-16,38,0
P0011585,L007520,2022-06-15,56,0
P0011586,L007520,2022-07-15,76,0
P0011587,L007520,2022-08-14,104,1
P0011588,L007520,2022-09-13,143,1
P0011589,L007520,2022-10-13,180,1
P0011590,L007521,2022-10-01,28,0
P0011591,L007521,2022-10-31,43,0
P0011592,L007521,2022-11-30,60,0
P0011593,L007521,2022-12-30,76,0
P0011594,L007521,2023-01-29,96,1
P0011595,L007522,2023-04-14,0,0
P0011596,L007523,2023-08-18,0,0
P0011597,L007528,2024-06-28,0,0
P0011598,L007528,2024-07-28,0,0
P0011599,L007530,2025-08-20,0,0
P0011600,L007530,2025-09-19,15,0
P0011601,L007531,2022-01-30,0,0
P0011602,L007532,2025-08-06,0,0
P0011603,L007532,2025-09-05,0,0
P0011604,L007534,2025-11-01,20,0
P0011605,L007534,2025-12-01,41,0
P0011606,L007534,2025-12-31,68,0
P0011607,L007535,2021-02-01,19,0
P0011608,L007538,2025-10-25,7,0
P0011609,L007538,2025-11-24,6,0
P0011610,L007541,2021-08-28,2,0
P0011611,L007541,2021-09-27,0,0
P0011612,L007544,2023-09-28,0,0
P0011613,L007545,2023-06-05,11,0
P0011614,L007545,2023-07-05,11,0
P0011615,L007545,2023-08-04,0,0
P0011616,L007546,2024-09-26,22,0
P0011617,L007546,2024-10-26,56,0
P0011618,L007546,2024-11-25,82,0
P0011619,L007546,2024-12-25,98,1
P0011620,L007546,2025-01-24,128,1
P0011621,L007546,2025-02-23,150,1
P0011622,L007547,2023-12-30,3,0
P0011623,L007547,2024-01-29,13,0
P0011624,L007549,2023-07-14,5,0
P0011625,L007553,2022-10-20,11,0
P0011626,L007554,2021-08-21,16,0
P0011627,L007554,2021-09-20,40,0
P0011628,L007554,2021-10-20,60,0
P0011629,L007554,2021-11-19,83,0
P0011630,L007554,2021-12-19,99,1
P0011631,L007554,2022-01-18,123,1
P0011632,L007554,2022-02-17,164,1
P0011633,L007559,2023-07-20,6,0
P0011634,L007561,2021-12-09,0,0
P0011635,L007564,2025-01-12,6,0
P0011636,L007564,2025-02-11,0,0
P0011637,L007565,2024-11-14,17,0
P0011638,L007565,2024-12-14,9,0
P0011639,L007566,2021-11-13,18,0
P0011640,L007569,2024-07-04,31,0
P0011641,L007569,2024-08-03,75,0
P0011642,L007569,2024-09-02,117,1
P0011643,L007570,2023-01-20,24,0
P0011644,L007570,2023-02-19,42,0
P0011645,L007570,2023-03-21,68,0
P0011646,L007570,2023-04-20,86,0
P0011647,L007571,2023-09-19,16,0
P0011648,L007573,2022-06-08,6,0
P0011649,L007573,2022-07-08,1,0
P0011650,L007576,2022-08-18,20,0
P0011651,L007576,2022-09-17,60,0
P0011652,L007576,2022-10-17,104,1
P0011653,L007576,2022-11-16,121,1
P0011654,L007576,2022-12-16,150,1
P0011655,L007576,2023-01-15,170,1
P0011656,L007576,2023-02-14,180,1
P0011657,L007576,2023-03-16,180,1
P0011658,L007577,2023-11-12,0,0
P0011659,L007578,2022-12-02,2,0
P0011660,L007579,2024-06-02,1,0
P0011661,L007579,2024-07-02,0,0
P0011662,L007580,2026-01-27,19,0
P0011663,L007582,2025-06-20,11,0
P0011664,L007584,2021-08-28,4,0
P0011665,L007585,2025-07-01,4,0
P0011666,L007586,2021-07-30,13,0
P0011667,L007590,2023-08-25,24,0
P0011668,L007590,2023-09-24,49,0
P0011669,L007590,2023-10-24,64,0
P0011670,L007590,2023-11-23,85,0
P0011671,L007591,2023-06-04,9,0
P0011672,L007592,2023-02-02,16,0
P0011673,L007593,2023-06-23,2,0
P0011674,L007593,2023-07-23,16,0
P0011675,L007593,2023-08-22,0,0
P0011676,L007594,2023-12-21,30,0
P0011677,L007594,2024-01-20,70,0
P0011678,L007594,2024-02-19,98,1
P0011679,L007594,2024-03-20,118,1
P0011680,L007594,2024-04-19,156,1
P0011681,L007594,2024-05-19,180,1
P0011682,L007595,2022-10-03,15,0
P0011683,L007596,2023-04-06,0,0
P0011684,L007596,2023-05-06,0,0
P0011685,L007598,2026-01-09,18,0
P0011686,L007600,2022-02-21,35,0
P0011687,L007600,2022-03-23,73,0
P0011688,L007600,2022-04-22,102,1
P0011689,L007600,2022-05-22,138,1
P0011690,L007600,2022-06-21,156,1
P0011691,L007600,2022-07-21,180,1
P0011692,L007600,2022-08-20,180,1
P0011693,L007601,2025-09-18,0,0
P0011694,L007603,2021-11-18,1,0
P0011695,L007603,2021-12-18,6,0
P0011696,L007603,2022-01-17,13,0
P0011697,L007605,2021-02-18,43,0
P0011698,L007605,2021-03-20,67,0
P0011699,L007605,2021-04-19,107,1
P0011700,L007605,2021-05-19,135,1
P0011701,L007605,2021-06-18,151,1
P0011702,L007605,2021-07-18,180,1
P0011703,L007605,2021-08-17,180,1
P0011704,L007607,2025-05-05,40,0
P0011705,L007607,2025-06-04,77,0
P0011706,L007607,2025-07-04,109,1
P0011707,L007607,2025-08-03,125,1
P0011708,L007607,2025-09-02,163,1
P0011709,L007607,2025-10-02,180,1
P0011710,L007608,2024-06-03,14,0
P0011711,L007608,2024-07-03,0,0
P0011712,L007608,2024-08-02,7,0
P0011713,L007611,2024-12-15,35,0
P0011714,L007611,2025-01-14,67,0
P0011715,L007611,2025-02-13,95,1
P0011716,L007611,2025-03-15,111,1
P0011717,L007611,2025-04-14,153,1
P0011718,L007611,2025-05-14,180,1
P0011719,L007612,2025-06-22,25,0
P0011720,L007612,2025-07-22,64,0
P0011721,L007612,2025-08-21,85,0
P0011722,L007612,2025-09-20,105,1
P0011723,L007613,2023-12-20,39,0
P0011724,L007613,2024-01-19,56,0
P0011725,L007613,2024-02-18,100,1
P0011726,L007613,2024-03-19,118,1
P0011727,L007614,2025-01-27,16,0
P0011728,L007614,2025-02-26,35,0
P0011729,L007614,2025-03-28,61,0
P0011730,L007614,2025-04-27,103,1
P0011731,L007614,2025-05-27,143,1
P0011732,L007615,2023-11-13,0,0
P0011733,L007617,2021-02-09,35,0
P0011734,L007617,2021-03-11,66,0
P0011735,L007617,2021-04-10,87,0
P0011736,L007619,2024-09-13,0,0
P0011737,L007619,2024-10-13,0,0
P0011738,L007622,2024-09-30,6,0
P0011739,L007624,2026-01-06,0,0
P0011740,L007626,2025-12-27,0,0
P0011741,L007627,2023-05-25,0,0
P0011742,L007628,2022-04-05,43,0
P0011743,L007628,2022-05-05,61,0
P0011744,L007628,2022-06-04,100,1
P0011745,L007628,2022-07-04,121,1
P0011746,L007628,2022-08-03,155,1
P0011747,L007628,2022-09-02,180,1
P0011748,L007628,2022-10-02,180,1
P0011749,L007629,2021-06-14,37,0
P0011750,L007629,2021-07-14,66,0
P0011751,L007629,2021-08-13,92,1
P0011752,L007629,2021-09-12,121,1
P0011753,L007631,2023-08-15,7,0
P0011754,L007631,2023-09-14,0,0
P0011755,L007631,2023-10-14,4,0
P0011756,L007632,2024-12-30,12,0
P0011757,L007632,2025-01-29,14,0
P0011758,L007632,2025-02-28,11,0
P0011759,L007633,2024-04-25,22,0
P0011760,L007633,2024-05-25,37,0
P0011761,L007633,2024-06-24,75,0
P0011762,L007633,2024-07-24,90,1
P0011763,L007633,2024-08-23,128,1
P0011764,L007633,2024-09-22,165,1
P0011765,L007633,2024-10-22,180,1
P0011766,L007636,2023-12-28,27,0
P0011767,L007636,2024-01-27,65,0
P0011768,L007636,2024-02-26,108,1
P0011769,L007637,2025-03-04,1,0
P0011770,L007642,2023-02-11,27,0
P0011771,L007642,2023-03-13,61,0
P0011772,L007642,2023-04-12,86,0
P0011773,L007642,2023-05-12,130,1
P0011774,L007642,2023-06-11,153,1
P0011775,L007642,2023-07-11,180,1
P0011776,L007642,2023-08-10,180,1
P0011777,L007643,2025-10-22,2,0
P0011778,L007643,2025-11-21,0,0
P0011779,L007646,2025-06-21,24,0
P0011780,L007646,2025-07-21,66,0
P0011781,L007646,2025-08-20,97,1
P0011782,L007646,2025-09-19,137,1
P0011783,L007646,2025-10-19,176,1
P0011784,L007646,2025-11-18,180,1
P0011785,L007646,2025-12-18,180,1
P0011786,L007648,2021-10-12,0,0
P0011787,L007649,2021-05-21,30,0
P0011788,L007649,2021-06-20,67,0
P0011789,L007649,2021-07-20,106,1
P0011790,L007649,2021-08-19,142,1
P0011791,L007649,2021-09-18,170,1
P0011792,L007649,2021-10-18,180,1
P0011793,L007649,2021-11-17,180,1
P0011794,L007652,2024-08-09,14,0
P0011795,L007652,2024-09-08,11,0
P0011796,L007654,2023-06-08,0,0
P0011797,L007654,2023-07-08,0,0
P0011798,L007654,2023-08-07,8,0
P0011799,L007655,2024-08-22,8,0
P0011800,L007655,2024-09-21,5,0
P0011801,L007660,2024-08-12,32,0
P0011802,L007660,2024-09-11,67,0
P0011803,L007660,2024-10-11,94,1
P0011804,L007661,2024-09-21,4,0
P0011805,L007661,2024-10-21,0,0
P0011806,L007663,2026-01-23,11,0
P0011807,L007665,2023-03-17,1,0
P0011808,L007665,2023-04-16,0,0
P0011809,L007665,2023-05-16,0,0
P0011810,L007666,2023-08-21,0,0
P0011811,L007666,2023-09-20,0,0
P0011812,L007667,2022-03-06,14,0
P0011813,L007668,2026-01-04,11,0
P0011814,L007669,2023-08-27,16,0
P0011815,L007670,2024-09-07,29,0
P0011816,L007670,2024-10-07,45,0
P0011817,L007670,2024-11-06,63,0
P0011818,L007670,2024-12-06,94,1
P0011819,L007670,2025-01-05,121,1
P0011820,L007670,2025-02-04,149,1
P0011821,L007670,2025-03-06,175,1
P0011822,L007671,2021-05-20,2,0
P0011823,L007678,2024-07-11,0,0
P0011824,L007678,2024-08-10,2,0
P0011825,L007679,2021-11-11,43,0
P0011826,L007679,2021-12-11,80,0
P0011827,L007679,2022-01-10,108,1
P0011828,L007679,2022-02-09,137,1
P0011829,L007679,2022-03-11,169,1
P0011830,L007679,2022-04-10,180,1
P0011831,L007679,2022-05-10,180,1
P0011832,L007679,2022-06-09,180,1
P0011833,L007682,2021-12-05,4,0
P0011834,L007682,2022-01-04,0,0
P0011835,L007688,2022-11-24,8,0
P0011836,L007689,2025-07-15,0,0
P0011837,L007690,2024-08-12,3,0
P0011838,L007691,2024-01-13,18,0
P0011839,L007691,2024-02-12,14,0
P0011840,L007691,2024-03-13,0,0
P0011841,L007695,2021-04-11,30,0
P0011842,L007695,2021-05-11,53,0
P0011843,L007695,2021-06-10,85,0
P0011844,L007695,2021-07-10,118,1
P0011845,L007695,2021-08-09,161,1
P0011846,L007695,2021-09-08,180,1
P0011847,L007695,2021-10-08,180,1
P0011848,L007697,2024-06-11,7,0
P0011849,L007697,2024-07-11,0,0
P0011850,L007698,2021-10-18,0,0
P0011851,L007699,2022-11-29,0,0
P0011852,L007699,2022-12-29,14,0
P0011853,L007699,2023-01-28,0,0
P0011854,L007700,2024-08-07,24,0
P0011855,L007700,2024-09-06,48,0
P0011856,L007700,2024-10-06,64,0
P0011857,L007700,2024-11-05,106,1
P0011858,L007701,2024-10-11,2,0
P0011859,L007701,2024-11-10,5,0
P0011860,L007701,2024-12-10,19,0
P0011861,L007702,2022-07-23,0,0
P0011862,L007706,2026-01-05,16,0
P0011863,L007707,2021-09-25,17,0
P0011864,L007707,2021-10-25,0,0
P0011865,L007708,2023-11-15,26,0
P0011866,L007708,2023-12-15,48,0
P0011867,L007708,2024-01-14,67,0
P0011868,L007708,2024-02-13,91,1
P0011869,L007710,2021-09-29,26,0
P0011870,L007710,2021-10-29,56,0
P0011871,L007710,2021-11-28,80,0
P0011872,L007711,2021-02-22,0,0
P0011873,L007711,2021-03-24,3,0
P0011874,L007712,2022-07-11,9,0
P0011875,L007713,2023-03-28,31,0
P0011876,L007713,2023-04-27,58,0
P0011877,L007713,2023-05-27,79,0
P0011878,L007713,2023-06-26,122,1
P0011879,L007713,2023-07-26,154,1
P0011880,L007715,2024-03-29,0,0
P0011881,L007716,2021-08-31,1,0
P0011882,L007717,2022-03-29,19,0
P0011883,L007718,2025-08-13,44,0
P0011884,L007718,2025-09-12,84,0
P0011885,L007718,2025-10-12,109,1
P0011886,L007718,2025-11-11,130,1
P0011887,L007718,2025-12-11,155,1
P0011888,L007718,2026-01-10,180,1
P0011889,L007718,2026-02-09,180,1
P0011890,L007718,2026-03-11,180,1
P0011891,L007719,2021-03-08,0,0
P0011892,L007719,2021-04-07,1,0
P0011893,L007719,2021-05-07,0,0
P0011894,L007720,2022-09-11,0,0
P0011895,L007721,2022-05-21,0,0
P0011896,L007723,2022-12-14,0,0
P0011897,L007725,2023-08-29,0,0
P0011898,L007726,2024-07-12,44,0
P0011899,L007726,2024-08-11,78,0
P0011900,L007726,2024-09-10,122,1
P0011901,L007726,2024-10-10,143,1
P0011902,L007726,2024-11-09,180,1
P0011903,L007726,2024-12-09,180,1
P0011904,L007727,2023-02-14,10,0
P0011905,L007734,2025-04-05,16,0
P0011906,L007734,2025-05-05,55,0
P0011907,L007734,2025-06-04,79,0
P0011908,L007734,2025-07-04,108,1
P0011909,L007734,2025-08-03,124,1
P0011910,L007736,2021-07-10,40,0
P0011911,L007736,2021-08-09,72,0
P0011912,L007736,2021-09-08,109,1
P0011913,L007736,2021-10-08,139,1
P0011914,L007738,2021-04-23,19,0
P0011915,L007739,2022-08-20,11,0
P0011916,L007739,2022-09-19,13,0
P0011917,L007741,2022-10-28,24,0
P0011918,L007741,2022-11-27,62,0
P0011919,L007741,2022-12-27,77,0
P0011920,L007741,2023-01-26,92,1
P0011921,L007741,2023-02-25,110,1
P0011922,L007741,2023-03-27,136,1
P0011923,L007741,2023-04-26,152,1
P0011924,L007743,2023-07-29,13,0
P0011925,L007745,2024-11-18,16,0
P0011926,L007745,2024-12-18,0,0
P0011927,L007745,2025-01-17,1,0
P0011928,L007746,2024-05-07,0,0
P0011929,L007747,2021-05-12,28,0
P0011930,L007747,2021-06-11,65,0
P0011931,L007747,2021-07-11,101,1
P0011932,L007747,2021-08-10,128,1
P0011933,L007747,2021-09-09,159,1
P0011934,L007747,2021-10-09,180,1
P0011935,L007748,2025-06-30,18,0
P0011936,L007749,2025-09-29,1,0
P0011937,L007749,2025-10-29,19,0
P0011938,L007750,2025-03-05,5,0
P0011939,L007750,2025-04-04,14,0
P0011940,L007750,2025-05-04,6,0
P0011941,L007753,2024-10-16,7,0
P0011942,L007754,2022-12-15,5,0
P0011943,L007756,2024-02-07,19,0
P0011944,L007757,2025-11-03,4,0
P0011945,L007757,2025-12-03,5,0
P0011946,L007757,2026-01-02,13,0
P0011947,L007759,2022-11-02,13,0
P0011948,L007759,2022-12-02,12,0
P0011949,L007760,2021-09-27,15,0
P0011950,L007760,2021-10-27,0,0
P0011951,L007760,2021-11-26,12,0
P0011952,L007762,2021-04-06,14,0
P0011953,L007762,2021-05-06,0,0
P0011954,L007763,2021-11-01,13,0
P0011955,L007763,2021-12-01,11,0
P0011956,L007764,2021-11-24,8,0
P0011957,L007767,2023-04-06,28,0
P0011958,L007767,2023-05-06,45,0
P0011959,L007767,2023-06-05,74,0
P0011960,L007767,2023-07-05,100,1
P0011961,L007767,2023-08-04,128,1
P0011962,L007767,2023-09-03,153,1
P0011963,L007767,2023-10-03,180,1
P0011964,L007769,2024-11-11,0,0
P0011965,L007769,2024-12-11,7,0
P0011966,L007769,2025-01-10,13,0
P0011967,L007770,2025-10-31,0,0
P0011968,L007772,2023-10-05,10,0
P0011969,L007773,2022-02-28,12,0
P0011970,L007773,2022-03-30,0,0
P0011971,L007773,2022-04-29,18,0
P0011972,L007774,2022-03-26,1,0
P0011973,L007775,2024-07-12,2,0
P0011974,L007776,2024-11-23,12,0
P0011975,L007778,2023-01-06,0,0
P0011976,L007780,2025-05-06,19,0
P0011977,L007781,2025-12-24,0,0
P0011978,L007783,2021-12-05,12,0
P0011979,L007783,2022-01-04,16,0
P0011980,L007784,2024-02-09,11,0
P0011981,L007786,2022-01-10,10,0
P0011982,L007786,2022-02-09,0,0
P0011983,L007786,2022-03-11,15,0
P0011984,L007787,2024-04-22,40,0
P0011985,L007787,2024-05-22,69,0
P0011986,L007787,2024-06-21,97,1
P0011987,L007787,2024-07-21,118,1
P0011988,L007787,2024-08-20,143,1
P0011989,L007787,2024-09-19,176,1
P0011990,L007789,2022-01-19,14,0
P0011991,L007789,2022-02-18,0,0
P0011992,L007791,2023-04-16,0,0
P0011993,L007791,2023-05-16,15,0
P0011994,L007795,2022-12-21,5,0
P0011995,L007795,2023-01-20,0,0
P0011996,L007796,2023-10-29,5,0
P0011997,L007796,2023-11-28,6,0
P0011998,L007799,2025-10-21,31,0
P0011999,L007799,2025-11-20,62,0
P0012000,L007799,2025-12-20,93,1
P0012001,L007799,2026-01-19,117,1
P0012002,L007799,2026-02-18,158,1
P0012003,L007800,2024-12-06,30,0
P0012004,L007800,2025-01-05,57,0
P0012005,L007800,2025-02-04,98,1
P0012006,L007800,2025-03-06,127,1
P0012007,L007800,2025-04-05,170,1
P0012008,L007800,2025-05-05,180,1
P0012009,L007800,2025-06-04,180,1
P0012010,L007800,2025-07-04,180,1
P0012011,L007801,2023-06-05,1,0
P0012012,L007801,2023-07-05,7,0
P0012013,L007802,2021-10-28,18,0
P0012014,L007802,2021-11-27,18,0
P0012015,L007802,2021-12-27,18,0
P0012016,L007804,2022-01-26,13,0
P0012017,L007804,2022-02-25,0,0
P0012018,L007805,2023-05-06,0,0
P0012019,L007805,2023-06-05,18,0
P0012020,L007806,2023-09-23,29,0
P0012021,L007806,2023-10-23,46,0
P0012022,L007806,2023-11-22,88,0
P0012023,L007806,2023-12-22,105,1
P0012024,L007806,2024-01-21,126,1
P0012025,L007806,2024-02-20,146,1
P0012026,L007807,2023-03-05,0,0
P0012027,L007807,2023-04-04,0,0
P0012028,L007807,2023-05-04,0,0
P0012029,L007808,2021-02-12,28,0
P0012030,L007808,2021-03-14,53,0
P0012031,L007808,2021-04-13,70,0
P0012032,L007808,2021-05-13,92,1
P0012033,L007808,2021-06-12,132,1
P0012034,L007808,2021-07-12,166,1
P0012035,L007808,2021-08-11,180,1
P0012036,L007808,2021-09-10,180,1
P0012037,L007811,2022-07-14,27,0
P0012038,L007811,2022-08-13,48,0
P0012039,L007811,2022-09-12,91,1
