loan_id,borrower_id,loan_amount,term_months,interest_rate,benchmark_rate,purpose,origination_date,status,default_flag,interest_spread
L002445,B013382,193900,48,23.91,7.07,Business,2023-09-03,Default,1,16.84
L002446,B004002,180000,36,8.18,6.99,Debt Consolidation,2023-12-06,Closed,0,1.19
L002447,B017173,96800,36,7.69,6.61,Home Improvement,2023-01-28,Closed,0,1.08
L002448,B017459,171300,24,11.78,4.13,Auto,2021-03-11,Active,0,7.65
L002449,B016592,463800,48,12.2,4.26,Personal,2021-04-09,Default,1,7.94
L002450,B001614,313300,24,6.33,5.8,Medical,2022-08-08,Active,0,0.53
L002451,B010973,1432800,12,10.73,4.48,Medical,2021-04-04,Active,0,6.25
L002452,B014426,252300,36,16.4,5.54,Auto,2022-05-17,Closed,0,10.86
L002453,B016975,590000,12,7.7,6.86,Home Improvement,2025-10-30,Active,0,0.84
L002454,B014928,572200,48,9.04,7.14,Education,2025-04-02,Closed,0,1.9
L002455,B014457,190000,48,11.45,4.08,Auto,2021-05-13,Active,0,7.37
L002456,B017227,145300,36,8.77,7.03,Personal,2025-08-12,Active,0,1.74
L002457,B012476,435100,12,22.13,7.05,Education,2024-09-21,Active,0,15.08
L002458,B008366,1005400,36,21.98,7.08,Debt Consolidation,2023-10-24,Closed,0,14.9
L002459,B011928,692200,36,20.62,4.71,Business,2021-09-30,Default,1,15.91
L002460,B017139,278800,48,18.07,7.11,Education,2023-12-02,Default,1,10.96
L002461,B007672,112400,36,6.39,5.2,Personal,2022-04-11,Default,1,1.19
L002462,B001820,403900,60,12.29,6.93,Personal,2023-08-02,Default,1,5.36
L002463,B007172,364400,12,7.19,5.53,Medical,2022-04-23,Active,0,1.66
L002464,B011109,68900,12,10.13,7.23,Home Improvement,2024-08-23,Default,1,2.9
L002465,B013823,160500,48,10.42,6.98,Auto,2023-07-21,Active,0,3.44
L002466,B000877,82800,24,14.59,7.23,Education,2024-04-13,Closed,0,7.36
L002467,B008554,363900,36,11.24,7.09,Medical,2025-01-19,Closed,0,4.15
L002468,B002475,238100,48,11.89,7.39,Business,2025-04-05,Active,0,4.5
L002469,B005703,75100,12,17.04,6.93,Home Improvement,2024-02-24,Default,1,10.11
L002470,B008287,126900,48,19.47,5.07,Home Improvement,2021-12-02,Active,0,14.4
L002471,B004142,211500,36,9.97,6.63,Home Improvement,2023-01-17,Active,0,3.34
L002472,B017218,465000,36,9.54,5.73,Home Improvement,2022-04-28,Closed,0,3.81
L002473,B017746,332300,24,15.96,5.6,Business,2022-03-27,Default,1,10.36
L002474,B006688,386100,12,15.02,7.09,Business,2024-11-12,Closed,0,7.93
L002475,B001291,164900,48,24.81,6.61,Business,2023-03-04,Default,1,18.2
L002476,B015676,113500,12,24.75,6.79,Auto,2025-09-08,Default,1,17.96
L002477,B017623,683700,24,14.69,6.8,Education,2025-12-24,Closed,0,7.89
L002478,B004296,221200,36,22.81,6.8,Debt Consolidation,2023-04-16,Closed,0,16.01
L002479,B002519,251400,12,20.68,5.55,Home Improvement,2022-06-15,Closed,0,15.13
L002480,B004001,162200,24,13.56,4.9,Business,2021-09-02,Closed,0,8.66
L002481,B007271,881000,12,6.27,4.89,Debt Consolidation,2021-10-08,Closed,0,1.38
L002482,B000945,226500,24,14.2,7.19,Medical,2023-11-15,Default,1,7.01
L002483,B017976,557600,24,7.6,7.09,Business,2023-11-24,Closed,0,0.51
L002484,B000266,122500,24,7.99,4.64,Debt Consolidation,2021-08-18,Closed,0,3.35
L002485,B003215,83600,48,18.14,4.77,Medical,2021-07-15,Closed,0,13.37
L002486,B003101,1820500,24,21.31,4.65,Education,2021-06-20,Closed,0,16.66
L002487,B014437,62600,36,20.05,6.75,Education,2023-04-11,Closed,0,13.3
L002488,B004424,75600,36,8.79,7.13,Business,2024-01-18,Default,1,1.66
L002489,B002349,93000,12,16.55,3.97,Medical,2021-01-26,Default,1,12.58
L002490,B016779,128900,60,16.63,4.58,Business,2021-07-22,Closed,0,12.05
L002491,B016396,83400,24,13.04,4.1,Home Improvement,2021-03-14,Closed,0,8.94
L002492,B001704,184300,48,16.02,5.28,Business,2022-04-29,Active,0,10.74
L002493,B010385,364300,12,27.32,3.86,Debt Consolidation,2021-01-20,Active,0,23.46
L002494,B006630,192000,12,14.08,5.36,Auto,2022-03-07,Closed,0,8.72
L002495,B006079,55100,36,11.3,5.21,Education,2022-01-12,Closed,0,6.09
L002496,B014229,598400,48,17.92,7.13,Business,2025-11-21,Active,0,10.79
L002497,B000209,30700,24,15.64,6.78,Medical,2023-08-14,Closed,0,8.86
L002498,B009227,550900,36,11.57,5.18,Business,2022-02-07,Active,0,6.39
L002499,B013040,1712900,24,8.34,4.65,Home Improvement,2021-08-02,Closed,0,3.69
L002500,B013720,120300,36,17.18,6.98,Medical,2024-06-15,Closed,0,10.2
L002501,B008922,862100,12,13.5,7.1,Home Improvement,2025-03-20,Active,0,6.4
L002502,B014409,118400,36,21.85,6.77,Medical,2023-10-08,Closed,0,15.08
L002503,B014287,386100,48,10.11,7.25,Auto,2023-08-22,Active,0,2.86
L002504,B011286,271500,36,18.41,5.07,Auto,2021-12-05,Closed,0,13.34
L002505,B000208,482500,48,10.81,5.95,Home Improvement,2022-06-10,Closed,0,4.86
L002506,B004246,194100,36,19.77,6.75,Debt Consolidation,2023-03-13,Closed,0,13.02
L002507,B015203,478300,36,20.88,4.07,Home Improvement,2021-03-20,Closed,0,16.81
L002508,B005753,832200,24,23.26,4.42,Debt Consolidation,2021-06-10,Active,0,18.84
L002509,B001962,139500,36,14.23,6.43,Personal,2023-04-29,Closed,0,7.8
L002510,B003325,245500,36,16.96,4.7,Home Improvement,2021-09-25,Active,0,12.26
L002511,B004904,392100,60,13.12,4.06,Personal,2021-01-31,Default,1,9.06
L002512,B008521,168400,12,21.62,6.9,Home Improvement,2024-08-21,Active,0,14.72
L002513,B014581,276900,12,9.74,6.81,Medical,2024-04-02,Closed,0,2.93
L002514,B004935,321700,48,17.88,6.8,Auto,2023-05-30,Closed,0,11.08
L002515,B012126,775300,36,8.8,6.88,Medical,2025-04-10,Active,0,1.92
L002516,B006584,55600,36,8.38,6.86,Auto,2024-12-27,Active,0,1.52
L002517,B004671,61000,60,12.91,4.64,Business,2021-07-08,Active,0,8.27
L002518,B011872,280300,24,11.87,6.73,Personal,2023-12-30,Active,0,5.14
L002519,B010468,64500,36,16.37,4.88,Personal,2021-08-20,Default,1,11.49
L002520,B009468,328600,12,17.98,6.98,Debt Consolidation,2025-11-10,Closed,0,11.0
L002521,B012862,400000,12,19.77,7.05,Home Improvement,2023-12-24,Closed,0,12.72
L002522,B012675,171600,12,11.86,6.96,Auto,2025-08-22,Closed,0,4.9
L002523,B000714,394500,48,15.84,6.82,Home Improvement,2023-05-28,Default,1,9.02
L002524,B005610,265500,48,18.95,6.74,Personal,2023-08-28,Active,0,12.21
L002525,B006072,48300,12,14.27,6.49,Debt Consolidation,2022-09-27,Default,1,7.78
L002526,B006821,317900,24,12.05,7.1,Personal,2023-11-07,Active,0,4.95
L002527,B003470,1103600,48,12.32,4.57,Business,2021-07-01,Closed,0,7.75
L002528,B015144,163600,12,7.99,5.26,Home Improvement,2021-12-28,Closed,0,2.73
L002529,B001268,1424900,36,15.03,6.97,Home Improvement,2024-01-14,Active,0,8.06
L002530,B015931,156300,36,9.57,4.87,Medical,2021-11-14,Active,0,4.7
L002531,B002972,330800,60,25.9,4.77,Home Improvement,2021-10-10,Default,1,21.13
L002532,B010162,376900,36,16.61,7.23,Home Improvement,2024-04-13,Active,0,9.38
L002533,B005677,155200,24,21.66,6.87,Auto,2023-06-04,Default,1,14.79
L002534,B015646,99900,12,12.84,4.53,Auto,2021-05-03,Active,0,8.31
L002535,B014453,44500,36,23.58,7.12,Business,2023-10-25,Default,1,16.46
L002536,B001759,971100,36,10.99,6.91,Education,2023-06-17,Closed,0,4.08
L002537,B004111,74100,12,19.07,6.98,Education,2025-02-12,Closed,0,12.09
L002538,B001267,72900,36,10.52,5.44,Business,2022-04-15,Default,1,5.08
L002539,B006643,272200,36,14.2,7.01,Home Improvement,2025-06-27,Active,0,7.19
L002540,B001764,75000,12,24.6,6.38,Auto,2022-11-14,Default,1,18.22
L002541,B005579,608800,12,10.18,7.16,Debt Consolidation,2024-07-24,Active,0,3.02
L002542,B008557,455600,12,8.76,5.73,Home Improvement,2022-08-17,Closed,0,3.03
L002543,B000533,151800,36,16.53,6.95,Medical,2025-08-26,Active,0,9.58
L002544,B016788,38100,24,16.63,5.2,Auto,2022-02-21,Closed,0,11.43
L002545,B014023,471700,36,21.58,7.2,Auto,2025-04-13,Default,1,14.38
L002546,B001815,670200,48,25.91,6.17,Home Improvement,2022-10-25,Active,0,19.74
L002547,B006180,268900,24,14.96,5.59,Business,2022-04-12,Closed,0,9.37
L002548,B006147,479000,48,9.84,5.86,Education,2022-07-21,Active,0,3.98
L002549,B011666,258700,48,8.34,6.9,Personal,2024-05-04,Active,0,1.44
L002550,B005097,117100,12,18.96,7.26,Personal,2023-06-27,Default,1,11.7
L002551,B006137,699800,48,11.59,7.18,Education,2025-08-23,Closed,0,4.41
L002552,B002915,223800,24,14.76,6.95,Debt Consolidation,2023-06-03,Closed,0,7.81
L002553,B017618,62800,12,16.01,6.85,Auto,2025-11-12,Closed,0,9.16
L002554,B013108,175400,24,15.33,4.27,Business,2021-04-08,Closed,0,11.06
L002555,B000874,70100,48,12.15,6.15,Home Improvement,2022-10-09,Closed,0,6.0
L002556,B005447,358800,48,11.68,4.69,Personal,2021-08-18,Active,0,6.99
L002557,B011489,120600,12,19.77,4.57,Education,2021-08-05,Closed,0,15.2
L002558,B009960,326700,12,19.02,6.98,Medical,2024-04-05,Default,1,12.04
L002559,B004719,335100,24,11.52,6.79,Debt Consolidation,2023-05-21,Active,0,4.73
L002560,B012004,982800,48,21.52,4.57,Personal,2021-09-09,Closed,0,16.95
L002561,B002687,98900,36,8.98,6.75,Home Improvement,2025-05-17,Closed,0,2.23
L002562,B014561,235700,24,12.23,7.02,Debt Consolidation,2024-02-14,Closed,0,5.21
L002563,B013209,463800,48,13.52,7.0,Home Improvement,2024-01-01,Closed,0,6.52
L002564,B007974,129600,36,11.31,4.56,Auto,2021-05-22,Closed,0,6.75
L002565,B007912,54700,24,11.25,7.19,Auto,2023-11-11,Active,0,4.06
L002566,B001275,141800,36,9.63,6.75,Business,2024-01-31,Closed,0,2.88
L002567,B014180,38300,48,13.32,4.18,Home Improvement,2021-04-03,Closed,0,9.14
L002568,B016067,68700,12,8.94,6.74,Auto,2023-09-16,Closed,0,2.2
L002569,B006889,314200,48,22.67,7.26,Education,2023-08-02,Default,1,15.41
L002570,B017322,439300,48,14.82,4.02,Business,2021-01-13,Active,0,10.8
L002571,B001043,242500,36,15.67,6.77,Auto,2024-03-24,Active,0,8.9
L002572,B004620,165100,24,9.17,6.23,Personal,2022-11-06,Active,0,2.94
L002573,B009065,198300,36,16.05,5.95,Medical,2022-10-09,Active,0,10.1
L002574,B005008,288500,24,17.19,6.54,Business,2023-01-07,Closed,0,10.65
L002575,B009788,211300,36,9.31,6.76,Education,2023-05-23,Closed,0,2.55
L002576,B015325,1248300,36,8.21,6.95,Personal,2024-04-27,Closed,0,1.26
L002577,B017038,168700,48,19.04,4.44,Business,2021-07-27,Closed,0,14.6
L002578,B004674,306300,24,10.7,5.01,Education,2021-12-01,Closed,0,5.69
L002579,B014750,489900,60,10.76,6.95,Auto,2024-05-22,Active,0,3.81
L002580,B017453,1313600,24,18.24,7.02,Debt Consolidation,2024-08-07,Closed,0,11.22
L002581,B004054,178800,48,20.34,7.28,Personal,2025-07-09,Closed,0,13.06
L002582,B000323,240200,36,10.51,6.19,Auto,2023-03-21,Active,0,4.32
L002583,B015725,1502500,36,25.47,6.79,Personal,2023-04-03,Default,1,18.68
L002584,B004841,589300,48,15.1,5.63,Debt Consolidation,2022-06-10,Closed,0,9.47
L002585,B001333,180100,48,8.08,6.37,Education,2023-01-07,Active,0,1.71
L002586,B016292,205400,48,13.18,5.1,Business,2022-01-08,Active,0,8.08
L002587,B016620,175200,48,22.44,4.96,Auto,2021-11-20,Default,1,17.48
L002588,B017100,492300,24,24.12,6.75,Personal,2023-09-01,Active,0,17.37
L002589,B011034,164800,24,7.27,5.76,Personal,2022-05-09,Closed,0,1.51
L002590,B005465,71800,24,22.04,6.01,Auto,2022-09-23,Default,1,16.03
L002591,B009250,524800,36,12.73,7.27,Debt Consolidation,2025-07-29,Active,0,5.46
L002592,B013969,60700,36,10.42,7.14,Medical,2024-08-05,Closed,0,3.28
L002593,B012807,760400,36,19.29,7.11,Education,2025-10-02,Closed,0,12.18
L002594,B014677,339200,12,10.34,6.67,Education,2022-12-03,Closed,0,3.67
L002595,B009464,29800,24,25.14,6.92,Medical,2024-11-26,Active,0,18.22
L002596,B011021,272100,24,22.21,5.43,Home Improvement,2022-02-05,Default,1,16.78
L002597,B010724,117800,24,24.29,5.59,Personal,2022-07-19,Default,1,18.7
L002598,B015948,250300,48,19.65,6.49,Home Improvement,2023-01-07,Default,1,13.16
L002599,B008104,182300,60,20.48,6.04,Medical,2022-08-18,Closed,0,14.44
L002600,B006376,107500,60,15.24,7.13,Education,2024-02-29,Closed,0,8.11
L002601,B007449,253800,12,13.07,6.66,Education,2023-04-28,Closed,0,6.41
L002602,B001569,389300,48,8.44,7.05,Medical,2024-08-29,Active,0,1.39
L002603,B006166,378700,48,19.27,6.92,Medical,2024-04-24,Closed,0,12.35
L002604,B015754,403100,24,19.0,6.93,Auto,2024-10-23,Active,0,12.07
L002605,B006299,217300,36,19.7,6.95,Business,2024-03-06,Active,0,12.75
L002606,B012845,80900,24,15.82,5.71,Personal,2022-05-30,Default,1,10.11
L002607,B015304,273900,48,16.49,7.03,Business,2023-08-25,Closed,0,9.46
L002608,B001468,83800,24,11.96,7.18,Business,2025-07-25,Default,1,4.78
L002609,B014970,1721000,24,11.63,4.5,Medical,2021-04-15,Active,0,7.13
L002610,B006483,251700,36,11.58,6.98,Business,2024-05-06,Active,0,4.6
L002611,B000137,657100,12,15.77,5.28,Business,2021-12-27,Active,0,10.49
L002612,B008270,245800,48,13.95,5.66,Auto,2022-05-14,Active,0,8.29
L002613,B000505,116200,60,14.83,6.9,Auto,2025-11-05,Closed,0,7.93
L002614,B001898,230000,48,12.87,6.47,Business,2023-01-26,Closed,0,6.4
L002615,B013310,253900,36,10.77,7.08,Medical,2025-07-25,Active,0,3.69
L002616,B001443,67000,12,10.22,4.86,Education,2021-08-04,Closed,0,5.36
L002617,B001924,84400,12,11.42,7.05,Home Improvement,2025-04-02,Default,1,4.37
L002618,B004029,547300,36,15.59,5.68,Debt Consolidation,2022-04-18,Active,0,9.91
L002619,B017526,298300,48,15.23,5.97,Auto,2022-07-08,Active,0,9.26
L002620,B012779,162800,12,14.61,7.1,Medical,2025-07-07,Closed,0,7.51
L002621,B010538,272700,24,13.55,6.98,Auto,2023-09-30,Closed,0,6.57
L002622,B016289,102300,36,15.92,6.98,Personal,2023-10-10,Active,0,8.94
L002623,B010050,173700,24,12.88,6.89,Business,2023-12-08,Active,0,5.99
L002624,B003022,596300,60,9.47,7.08,Education,2024-10-25,Default,1,2.39
L002625,B009785,469700,12,14.16,6.78,Education,2023-08-13,Active,0,7.38
L002626,B008760,257900,24,6.43,5.2,Business,2021-10-15,Active,0,1.23
L002627,B010143,101100,24,10.63,4.54,Personal,2021-06-20,Active,0,6.09
L002628,B012720,132100,60,13.46,6.58,Home Improvement,2023-04-24,Closed,0,6.88
L002629,B007362,863700,60,25.0,7.14,Business,2024-10-19,Closed,0,17.86
L002630,B009214,34700,24,12.92,6.06,Medical,2022-10-18,Default,1,6.86
L002631,B014638,440800,36,11.3,7.03,Business,2024-03-19,Closed,0,4.27
L002632,B005823,182700,48,10.81,4.35,Medical,2021-06-01,Closed,0,6.46
L002633,B005005,89500,24,11.55,6.89,Auto,2025-01-09,Closed,0,4.66
L002634,B015747,214000,36,18.92,6.47,Business,2022-11-25,Default,1,12.45
L002635,B015539,174300,60,7.97,5.14,Auto,2021-12-24,Closed,0,2.83
L002636,B016458,284500,36,11.7,7.08,Debt Consolidation,2025-02-13,Closed,0,4.62
L002637,B012097,132400,24,14.75,6.06,Auto,2022-09-18,Closed,0,8.69
L002638,B004857,189300,60,8.09,6.98,Education,2025-12-03,Closed,0,1.11
L002639,B012320,928000,60,8.43,6.91,Education,2025-01-07,Active,0,1.52
L002640,B016048,151700,24,9.99,6.82,Personal,2023-11-09,Active,0,3.17
L002641,B013824,393700,24,12.49,4.25,Personal,2021-02-27,Active,0,8.24
L002642,B008618,281300,24,19.6,7.01,Education,2025-08-10,Closed,0,12.59
L002643,B010100,88200,48,15.95,5.81,Home Improvement,2022-07-30,Closed,0,10.14
L002644,B015377,1612900,36,10.61,6.95,Education,2024-07-08,Active,0,3.66
L002645,B009794,44800,24,23.09,7.18,Business,2024-06-01,Default,1,15.91
L002646,B008166,116700,24,17.15,7.11,Business,2023-11-07,Default,1,10.04
L002647,B017716,317900,60,12.32,4.59,Medical,2021-06-20,Active,0,7.73
L002648,B004818,358100,36,16.26,6.88,Education,2023-08-23,Active,0,9.38
L002649,B013808,258500,24,18.14,7.06,Business,2025-01-30,Closed,0,11.08
L002650,B014651,488600,24,24.56,6.89,Home Improvement,2024-05-01,Active,0,17.67
L002651,B005787,444700,36,19.4,6.94,Medical,2024-12-06,Active,0,12.46
L002652,B017408,216900,48,9.05,7.2,Home Improvement,2024-12-09,Closed,0,1.85
L002653,B015320,74900,12,7.7,4.32,Business,2021-05-28,Active,0,3.38
L002654,B003993,97900,60,12.68,6.04,Medical,2022-10-11,Closed,0,6.64
L002655,B017330,130300,12,16.9,7.11,Medical,2023-08-06,Active,0,9.79
L002656,B004840,126400,12,13.72,7.16,Auto,2025-12-10,Default,1,6.56
L002657,B014257,135700,36,10.48,6.87,Debt Consolidation,2024-10-29,Closed,0,3.61
L002658,B002978,353800,24,11.55,6.96,Business,2023-11-05,Active,0,4.59
L002659,B015731,71500,24,9.77,7.23,Medical,2024-05-31,Default,1,2.54
L002660,B000997,183300,12,22.6,5.27,Auto,2021-11-17,Active,0,17.33
L002661,B012037,237800,36,18.78,6.92,Medical,2024-04-06,Closed,0,11.86
L002662,B003879,43100,48,21.89,6.99,Auto,2023-07-31,Active,0,14.9
L002663,B001594,71700,12,22.77,4.37,Business,2021-04-12,Active,0,18.4
L002664,B012255,76300,36,10.71,7.14,Personal,2024-11-26,Closed,0,3.57
L002665,B006176,368900,36,10.71,6.94,Debt Consolidation,2025-07-25,Active,0,3.77
L002666,B014885,602800,36,12.35,6.96,Education,2023-09-14,Active,0,5.39
L002667,B011225,120400,24,8.17,7.52,Business,2023-07-23,Active,0,0.65
L002668,B006001,294900,36,10.75,4.37,Medical,2021-03-05,Active,0,6.38
L002669,B001419,420600,36,16.49,7.09,Debt Consolidation,2024-10-03,Active,0,9.4
L002670,B015730,1224400,36,22.68,6.2,Auto,2022-11-26,Default,1,16.48
L002671,B005366,1635600,48,13.99,7.04,Home Improvement,2024-05-09,Closed,0,6.95
L002672,B008963,199700,24,10.96,6.98,Education,2024-05-27,Active,0,3.98
L002673,B003700,229600,48,12.1,4.49,Auto,2021-06-17,Active,0,7.61
L002674,B017854,259200,60,18.0,6.9,Education,2025-02-22,Closed,0,11.1
L002675,B011469,533000,36,10.25,6.89,Auto,2025-05-30,Closed,0,3.36
L002676,B014575,228000,24,17.36,5.54,Education,2022-04-16,Active,0,11.82
L002677,B011352,101100,24,11.8,6.81,Home Improvement,2025-12-20,Active,0,4.99
L002678,B014333,32400,48,15.48,4.65,Home Improvement,2021-10-18,Active,0,10.83
L002679,B013972,112700,36,9.93,4.37,Business,2021-06-02,Active,0,5.56
L002680,B005198,134700,24,19.14,4.59,Home Improvement,2021-06-27,Active,0,14.55
L002681,B006133,102500,36,21.82,4.88,Auto,2021-11-27,Default,1,16.94
L002682,B009316,861800,48,17.64,6.75,Debt Consolidation,2024-12-27,Closed,0,10.89
L002683,B017475,162100,48,10.96,6.02,Home Improvement,2022-10-27,Default,1,4.94
L002684,B005565,301300,24,16.67,7.04,Education,2023-12-30,Active,0,9.63
L002685,B004703,220800,60,13.97,7.03,Personal,2023-07-13,Active,0,6.94
L002686,B013112,59900,24,9.95,4.33,Medical,2021-05-23,Closed,0,5.62
L002687,B015166,159900,36,22.14,6.88,Personal,2024-02-05,Active,0,15.26
L002688,B016241,114700,48,16.7,6.99,Business,2025-11-11,Active,0,9.71
L002689,B008174,365900,48,17.83,7.01,Medical,2024-05-19,Default,1,10.82
L002690,B013242,114600,12,16.16,6.94,Business,2023-09-01,Default,1,9.22
L002691,B004455,170000,24,12.37,7.17,Home Improvement,2023-10-20,Default,1,5.2
L002692,B010032,409200,36,14.99,6.96,Medical,2025-11-08,Closed,0,8.03
L002693,B010958,220600,36,8.88,4.82,Business,2021-07-26,Closed,0,4.06
L002694,B013773,468400,36,12.0,6.05,Medical,2022-08-02,Closed,0,5.95
L002695,B016209,289200,36,20.23,6.75,Home Improvement,2023-11-26,Active,0,13.48
L002696,B017589,282600,24,14.05,7.12,Debt Consolidation,2023-12-10,Active,0,6.93
L002697,B016407,94200,36,10.33,6.47,Auto,2022-12-12,Active,0,3.86
L002698,B002590,159400,24,19.63,7.11,Education,2024-12-27,Default,1,12.52
L002699,B013852,286400,36,13.61,4.04,Business,2021-03-21,Active,0,9.57
L002700,B001782,792100,12,10.25,6.94,Auto,2023-07-30,Active,0,3.31
L002701,B002567,100700,24,10.03,5.05,Personal,2021-12-10,Active,0,4.98
L002702,B013047,500000,60,17.9,7.22,Medical,2023-09-21,Default,1,10.68
L002703,B012782,745000,36,24.53,6.58,Debt Consolidation,2022-12-30,Closed,0,17.95
L002704,B000516,59100,36,13.95,6.9,Education,2024-08-19,Active,0,7.05
L002705,B000071,241000,24,9.76,5.44,Personal,2022-04-01,Active,0,4.32
L002706,B000653,232000,36,12.18,6.77,Auto,2023-10-26,Active,0,5.41
L002707,B015838,299600,48,11.39,6.99,Education,2024-12-15,Active,0,4.4
L002708,B005042,154700,12,14.19,6.39,Business,2022-10-07,Active,0,7.8
L002709,B003669,125200,36,14.58,6.71,Auto,2023-07-28,Closed,0,7.87
L002710,B014761,51900,36,27.86,6.75,Business,2024-04-01,Default,1,21.11
L002711,B003300,78500,36,9.37,5.44,Medical,2022-04-20,Active,0,3.93
L002712,B014048,947500,36,15.81,4.87,Medical,2021-09-21,Active,0,10.94
L002713,B013604,296400,12,22.96,5.7,Medical,2022-05-29,Active,0,17.26
L002714,B001551,41400,24,8.56,6.87,Personal,2023-11-28,Active,0,1.69
L002715,B002831,83100,36,23.64,7.09,Home Improvement,2023-08-14,Closed,0,16.55
L002716,B000952,62400,24,21.79,6.43,Personal,2023-01-04,Closed,0,15.36
L002717,B016384,106800,48,22.16,6.37,Medical,2022-10-27,Closed,0,15.79
L002718,B008770,109600,60,18.1,6.99,Business,2023-08-29,Closed,0,11.11
L002719,B002102,75200,36,11.91,6.93,Auto,2024-03-27,Closed,0,4.98
L002720,B003815,192900,60,16.69,7.13,Education,2025-02-20,Active,0,9.56
L002721,B001453,433700,24,15.08,7.24,Business,2024-07-14,Active,0,7.84
L002722,B007808,215600,36,14.63,6.77,Medical,2025-03-26,Active,0,7.86
L002723,B004654,91400,48,10.95,6.19,Debt Consolidation,2022-09-12,Closed,0,4.76
L002724,B017553,94600,36,12.05,5.28,Personal,2022-03-28,Closed,0,6.77
L002725,B009949,354100,12,13.12,7.21,Home Improvement,2024-02-29,Active,0,5.91
L002726,B015980,487700,24,23.12,3.83,Medical,2021-01-29,Default,1,19.29
L002727,B017733,838600,24,13.42,7.11,Business,2024-11-07,Active,0,6.31
L002728,B003077,80300,24,13.81,7.05,Debt Consolidation,2023-06-21,Default,1,6.76
L002729,B008980,379900,24,11.58,4.51,Home Improvement,2021-06-09,Active,0,7.07
L002730,B004560,313200,60,19.75,7.11,Business,2024-10-04,Active,0,12.64
L002731,B010888,712700,24,9.21,7.12,Medical,2023-11-15,Closed,0,2.09
L002732,B003471,118200,24,12.06,5.64,Business,2022-04-22,Closed,0,6.42
L002733,B007782,119200,48,9.46,6.86,Medical,2024-12-30,Active,0,2.6
L002734,B006913,342500,36,8.62,4.68,Debt Consolidation,2021-09-06,Closed,0,3.94
L002735,B016577,130900,48,14.69,7.11,Medical,2024-09-04,Active,0,7.58
L002736,B000261,83700,36,19.66,6.82,Medical,2025-07-22,Active,0,12.84
L002737,B005991,103000,48,6.3,6.68,Medical,2025-09-20,Closed,0,-0.38
L002738,B011377,655300,36,19.4,6.91,Business,2025-05-07,Default,1,12.49
L002739,B002321,107000,36,17.76,5.15,Debt Consolidation,2022-01-27,Closed,0,12.61
L002740,B000628,90700,36,15.75,7.11,Debt Consolidation,2024-09-05,Active,0,8.64
L002741,B002659,107900,24,17.31,6.78,Medical,2023-04-15,Default,1,10.53
L002742,B000901,465500,48,16.74,7.18,Personal,2025-04-07,Active,0,9.56
L002743,B004815,130000,60,12.89,7.18,Business,2023-08-08,Closed,0,5.71
L002744,B014506,200300,24,7.39,6.08,Home Improvement,2022-08-20,Active,0,1.31
L002745,B005587,188500,60,22.58,4.75,Medical,2021-10-08,Closed,0,17.83
L002746,B008607,153900,24,16.38,5.94,Home Improvement,2022-07-07,Closed,0,10.44
L002747,B003177,276000,12,10.09,5.54,Auto,2022-01-02,Active,0,4.55
L002748,B015620,291300,36,13.05,7.01,Business,2025-08-21,Active,0,6.04
L002749,B017179,775400,48,18.82,7.12,Home Improvement,2024-07-23,Closed,0,11.7
L002750,B006536,51000,36,12.54,6.95,Medical,2025-11-05,Active,0,5.59
L002751,B010624,357400,48,19.07,6.61,Debt Consolidation,2025-02-11,Active,0,12.46
L002752,B016345,198000,12,14.69,6.9,Business,2023-08-02,Default,1,7.79
L002753,B001919,459300,24,25.31,4.82,Debt Consolidation,2021-07-05,Closed,0,20.49
L002754,B000069,138900,24,28.12,4.78,Business,2021-09-09,Default,1,23.34
L002755,B000816,361200,12,13.55,5.56,Business,2022-03-07,Closed,0,7.99
L002756,B015997,1266100,36,16.24,7.22,Education,2024-08-14,Default,1,9.02
L002757,B012951,134700,36,22.56,6.92,Debt Consolidation,2024-08-06,Default,1,15.64
L002758,B006959,91000,48,10.52,6.91,Education,2024-12-02,Active,0,3.61
L002759,B009702,48300,60,15.77,4.1,Business,2021-02-22,Active,0,11.67
L002760,B000248,133100,36,10.96,6.82,Education,2024-12-03,Closed,0,4.14
L002761,B011901,44900,48,12.37,5.91,Home Improvement,2022-08-10,Default,1,6.46
L002762,B005642,450800,24,7.57,6.68,Education,2023-06-14,Closed,0,0.89
L002763,B014062,224300,36,8.82,6.62,Debt Consolidation,2025-03-05,Active,0,2.2
L002764,B001004,98900,24,9.52,6.08,Business,2022-09-08,Active,0,3.44
L002765,B014705,187300,36,23.68,6.92,Business,2024-11-02,Default,1,16.76
L002766,B012475,205100,48,14.56,5.62,Education,2022-06-09,Active,0,8.94
L002767,B006365,494100,60,14.55,6.47,Auto,2022-12-13,Active,0,8.08
L002768,B002660,195200,48,13.55,6.39,Medical,2022-12-20,Default,1,7.16
L002769,B017560,309200,48,12.71,4.97,Education,2021-12-17,Active,0,7.74
L002770,B008900,74300,48,21.91,7.05,Education,2025-01-31,Default,1,14.86
L002771,B000495,488700,36,10.69,7.18,Business,2023-11-06,Active,0,3.51
L002772,B009115,306400,60,12.73,6.39,Business,2022-11-13,Default,1,6.34
L002773,B012897,183200,36,13.47,6.01,Medical,2022-07-17,Closed,0,7.46
L002774,B000340,1585100,24,12.65,7.01,Education,2025-10-25,Active,0,5.64
L002775,B007692,213700,24,8.71,6.94,Business,2023-09-16,Active,0,1.77
